2026-05-01 22uman:35:51 | INFO     | bot.cli                   | Trading bot started — command=order
2026-05-01 22uman:35:51 | INFO     | bot.validators            | Validating order params — symbol=BTCUSDT side=BUY type=MARKET qty=0.01 price=None stop_price=None
2026-05-01 22uman:35:51 | INFO     | bot.validators            | Validation passed: {'symbol': 'BTCUSDT', 'side': 'BUY', 'order_type': 'MARKET', 'quantity': Decimal('0.01'), 'price': None, 'stop_price': None}
2026-05-01 22uman:35:51 | INFO     | bot.cli                   | CLI order command — symbol=BTCUSDT side=BUY type=MARKET qty=0.01 price=None stop=None
2026-05-01 22uman:35:51 | INFO     | bot.client                | BinanceClient initialised — base_url=https://testnet.binancefuture.com
2026-05-01 22uman:35:51 | INFO     | bot.orders                | Order request summary: {"symbol": "BTCUSDT", "side": "BUY", "type": "MARKET", "quantity": "0.01"}
2026-05-01 22uman:35:51 | INFO     | bot.client                | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': '0.01', 'timestamp': 1777655151050, 'recvWindow': 5000}
2026-05-01 22uman:35:52 | INFO     | bot.client                | ← HTTP 200  https://testnet.binancefuture.com/fapi/v1/order  body={"orderId":13097102679,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"aT1YOvDIbmeutxCuE1owTk","price":"0.00","avgPrice":"0.00","origQty":"0.0100","executedQty":"0.0000","cumQty":"0.0000","cumQuote":"0.000000","timeInForce":"GTC","type":"MARKET","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"MARKET","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updat
2026-05-01 22uman:35:52 | INFO     | bot.orders                | Order response — id=13097102679 status=NEW execQty=0.0000 avgPrice=0.00
2026-05-01 22uman:35:52 | INFO     | bot.cli                   | Order SUCCESS — id=13097102679
2026-05-01 22uman:36:11 | INFO     | bot.cli                   | Trading bot started — command=order
2026-05-01 22uman:36:11 | INFO     | bot.validators            | Validating order params — symbol=ETHUSDT side=SELL type=LIMIT qty=0.1 price=3000.0 stop_price=None
2026-05-01 22uman:36:11 | INFO     | bot.validators            | Validation passed: {'symbol': 'ETHUSDT', 'side': 'SELL', 'order_type': 'LIMIT', 'quantity': Decimal('0.1'), 'price': Decimal('3000.0'), 'stop_price': None}
2026-05-01 22uman:36:11 | INFO     | bot.cli                   | CLI order command — symbol=ETHUSDT side=SELL type=LIMIT qty=0.1 price=3000.0 stop=None
2026-05-01 22uman:36:11 | INFO     | bot.client                | BinanceClient initialised — base_url=https://testnet.binancefuture.com
2026-05-01 22uman:36:11 | INFO     | bot.orders                | Order request summary: {"symbol": "ETHUSDT", "side": "SELL", "type": "LIMIT", "quantity": "0.1", "price": "3000.0", "timeInForce": "GTC"}
2026-05-01 22uman:36:11 | INFO     | bot.client                | → POST https://testnet.binancefuture.com/fapi/v1/order  params={'symbol': 'ETHUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.1', 'price': '3000.0', 'timeInForce': 'GTC', 'timestamp': 1777655171682, 'recvWindow': 5000}
2026-05-01 22uman:36:12 | INFO     | bot.client                | ← HTTP 200  https://testnet.binancefuture.com/fapi/v1/order  body={"orderId":8676909866,"symbol":"ETHUSDT","status":"NEW","clientOrderId":"keme1ITq9JE4IidmBIi71p","price":"3000.00","avgPrice":"0.00","origQty":"0.100","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","priceMatch":"NONE","selfTradePreventionMode":"EXPIRE_MAKER","goodTillDate":0,"updateTi
2026-05-01 22uman:36:12 | INFO     | bot.orders                | Order response — id=8676909866 status=NEW execQty=0.000 avgPrice=0.00
2026-05-01 22uman:36:12 | INFO     | bot.cli                   | Order SUCCESS — id=8676909866
2026-05-01 22uman:36:16 | INFO     | bot.cli                   | Trading bot started — command=account
2026-05-01 22uman:36:16 | INFO     | bot.client                | BinanceClient initialised — base_url=https://testnet.binancefuture.com
2026-05-01 22uman:36:16 | INFO     | bot.client                | → GET https://testnet.binancefuture.com/fapi/v2/account  params={'timestamp': 1777655176963, 'recvWindow': 5000}
2026-05-01 22uman:36:17 | INFO     | bot.client                | ← HTTP 200  https://testnet.binancefuture.com/fapi/v2/account  body={"feeTier":0,"canTrade":true,"canDeposit":true,"canWithdraw":true,"feeBurn":true,"tradeGroupId":-1,"updateTime":0,"multiAssetsMargin":false,"totalInitialMargin":"147.23652214","totalMaintMargin":"9.37892177","totalWalletBalance":"4999.06129281","totalUnrealizedProfit":"-2.03755722","totalMarginBalance":"4997.02373559","totalPositionInitialMargin":"117.23652214","totalOpenOrderInitialMargin":"30.00000000","totalCrossWalletBalance":"4999.06129281","totalCrossUnPnl":"-2.03755722","availableBalance"
2026-05-01 22uman:36:35 | INFO     | bot.cli                   | Trading bot started — command=open-orders
2026-05-01 22uman:36:35 | INFO     | bot.client                | BinanceClient initialised — base_url=https://testnet.binancefuture.com
2026-05-01 22uman:36:35 | INFO     | bot.client                | → GET https://testnet.binancefuture.com/fapi/v1/openOrders  params={'timestamp': 1777655195914, 'recvWindow': 5000}
